ROAD,TOWN,POSTCODE,USE,X,Y
TEMPLE PARK,CASTLEROCK,BT51 4TE,RESIDENTIAL,276917,435776
WARKE PLACE,CASTLEROCK,BT51 4TF,RESIDENTIAL,276918,436162
TEMPLE PARK,CASTLEROCK,BT51 4TE,RESIDENTIAL,276919,435749
TEMPLE PARK,CASTLEROCK,BT51 4TE,RESIDENTIAL,276919,435784
NORWELL PARK,CASTLEROCK,BT51 4TS,RESIDENTIAL,276920,435863
SEAPARK,CASTLEROCK,BT51 4TH,RESIDENTIAL,276920,435911
SEAPARK,CASTLEROCK,BT51 4TH,RESIDENTIAL,276920,435973
DUNBOE ROAD,CASTLEROCK,BT51 4TA,RESIDENTIAL,276922,433951
FREEHALL ROAD,CASTLEROCK,BT51 4RL,RESIDENTIAL,276923,435568
TEMPLE PARK,CASTLEROCK,BT51 4TE,RESIDENTIAL,276924,435736
WARKE PLACE,CASTLEROCK,BT51 4TF,RESIDENTIAL,276925,436169
WARKE PLACE,CASTLEROCK,BT51 4TF,RESIDENTIAL,276926,436140
TEMPLE PARK,CASTLEROCK,BT51 4TE,RESIDENTIAL,276927,435731
SEAPARK,CASTLEROCK,BT51 4TH,RESIDENTIAL,276929,435954
NORWELL PARK,CASTLEROCK,BT51 4TS,RESIDENTIAL,276931,435824
SEAPARK,CASTLEROCK,BT51 4TH,RESIDENTIAL,276931,435893
SEAPARK,CASTLEROCK,BT51 4TH,RESIDENTIAL,276932,436055
TEMPLE PARK,CASTLEROCK,BT51 4TE,RESIDENTIAL,276933,435720
WARKE PLACE,CASTLEROCK,BT51 4TF,RESIDENTIAL,276934,436133
TEMPLE PARK,CASTLEROCK,BT51 4TE,RESIDENTIAL,276935,435714
SEAPARK,CASTLEROCK,BT51 4TH,RESIDENTIAL,276935,436022
TEMPLE PARK,CASTLEROCK,BT51 4TE,RESIDENTIAL,276937,435676
TEMPLE PARK,CASTLEROCK,BT51 4TE,RESIDENTIAL,276937,435703
TEMPLE PARK,CASTLEROCK,BT51 4TE,RESIDENTIAL,276938,435670
TEMPLE PARK,CASTLEROCK,BT51 4TE,RESIDENTIAL,276940,435699
NORWELL PARK,CASTLEROCK,BT51 4TS,RESIDENTIAL,276940,435868
TEMPLE PARK,CASTLEROCK,BT51 4TE,RESIDENTIAL,276941,435664
SEAPARK,CASTLEROCK,BT51 4TH,RESIDENTIAL,276941,436003
TEMPLE PARK,CASTLEROCK,BT51 4TE,RESIDENTIAL,276942,435694
TEMPLE PARK,CASTLEROCK,BT51 4TE,RESIDENTIAL,276943,435689
SEAPARK,CASTLEROCK,BT51 4TH,RESIDENTIAL,276945,435982
NORWELL PARK,CASTLEROCK,BT51 4TS,RESIDENTIAL,276948,435829
FREEHALL ROAD,CASTLEROCK,BT51 4RL,RESIDENTIAL,276949,435584
SEAPARK,CASTLEROCK,BT51 4TH,RESIDENTIAL,276949,435935
SEAPARK,CASTLEROCK,BT51 4TH,RESIDENTIAL,276949,436069
WARKE PLACE,CASTLEROCK,BT51 4TF,RESIDENTIAL,276953,436128
TEMPLE PARK,CASTLEROCK,BT51 4TE,RESIDENTIAL,276956,435660
FREEHALL ROAD,CASTLEROCK,BT51 4RL,RESIDENTIAL,276957,435587
WARKE PLACE,CASTLEROCK,BT51 4TF,RESIDENTIAL,276957,436157
SEAPARK,CASTLEROCK,BT51 4TH,RESIDENTIAL,276958,435961
TEMPLE PARK,CASTLEROCK,BT51 4TE,RESIDENTIAL,276959,435652
WARKE PLACE,CASTLEROCK,BT51 4TF,RESIDENTIAL,276962,436131
TEMPLE PARK,CASTLEROCK,BT51 4TE,RESIDENTIAL,276966,435709
WARKE PLACE,CASTLEROCK,BT51 4TF,RESIDENTIAL,276966,436160
FREEHALL ROAD,CASTLEROCK,BT51 4RL,RESIDENTIAL,276969,435592
NORWELL PARK,CASTLEROCK,BT51 4TS,RESIDENTIAL,276969,435832
FREEHALL PARK,CASTLEROCK,BT51 4UT,UNKNOWN,276970,435787
MUSSENDEN ROAD,CASTLEROCK,BT51 4RW,RESIDENTIAL,276971,434869
SEAPARK,CASTLEROCK,BT51 4TH,RESIDENTIAL,276971,436080
TEMPLE PARK,CASTLEROCK,BT51 4TE,RESIDENTIAL,276972,435712
SEAPARK,CASTLEROCK,BT51 4TH,RESIDENTIAL,276972,435905
SEAPARK,CASTLEROCK,BT51 4TH,RESIDENTIAL,276972,436031
SEAPARK,CASTLEROCK,BT51 4TH,RESIDENTIAL,276973,435941
SEAPARK,CASTLEROCK,BT51 4TH,RESIDENTIAL,276975,436012
FREEHALL ROAD,CASTLEROCK,BT51 4RL,RESIDENTIAL,276977,435596
TEMPLE PARK,CASTLEROCK,BT51 4TE,RESIDENTIAL,276978,435714
NORWELL PARK,CASTLEROCK,BT51 4TS,RESIDENTIAL,276978,435876
WARKE PLACE,CASTLEROCK,BT51 4TF,RESIDENTIAL,276979,436135
TEMPLE PARK,CASTLEROCK,BT51 4TE,RESIDENTIAL,276980,435656
SEAPARK,CASTLEROCK,BT51 4TH,RESIDENTIAL,276981,436102
TEMPLE PARK,CASTLEROCK,BT51 4TE,RESIDENTIAL,276982,435648
SEAPARK,CASTLEROCK,BT51 4TH,RESIDENTIAL,276983,435994
SEAPARK,CASTLEROCK,BT51 4TH,RESIDENTIAL,276985,435970
NORWELL PARK,CASTLEROCK,BT51 4TS,RESIDENTIAL,276986,435837
WARKE PLACE,CASTLEROCK,BT51 4TF,RESIDENTIAL,276988,436138
SEAPARK,CASTLEROCK,BT51 4TH,RESIDENTIAL,276990,435909
SEAPARK,CASTLEROCK,BT51 4TH,RESIDENTIAL,276991,435944
FREEHALL ROAD,CASTLEROCK,BT51 4RL,UNKNOWN,276992,435617
NORWELL PARK,CASTLEROCK,BT51 4TS,RESIDENTIAL,276994,435879
TEMPLE PARK,CASTLEROCK,BT51 4TE,RESIDENTIAL,276996,435663
SEAPARK,CASTLEROCK,BT51 4TH,RESIDENTIAL,276996,436039
FREEHALL ROAD,CASTLEROCK,BT51 4RL,RESIDENTIAL,276998,435617
FREEHALL ROAD,CASTLEROCK,BT51 4RL,RESIDENTIAL,276999,435587
SEAPARK,CASTLEROCK,BT51 4TH,RESIDENTIAL,277000,436107
TEMPLE PARK,CASTLEROCK,BT51 4TE,RESIDENTIAL,277001,435664
SEAPARK,CASTLEROCK,BT51 4TH,RESIDENTIAL,277003,436018
WARKE PLACE,CASTLEROCK,BT51 4TF,RESIDENTIAL,277004,436140
NORWELL PARK,CASTLEROCK,BT51 4TS,RESIDENTIAL,277005,435842
TEMPLE PARK,CASTLEROCK,BT51 4TE,RESIDENTIAL,277006,435665
SEAPARK,CASTLEROCK,BT51 4TH,RESIDENTIAL,277006,435981
SEAPARK,CASTLEROCK,BT51 4TH,RESIDENTIAL,277006,436004
SEAPARK,CASTLEROCK,BT51 4TH,RESIDENTIAL,277010,435913
TEMPLE PARK,CASTLEROCK,BT51 4TE,RESIDENTIAL,277011,435667
NORWELL PARK,CASTLEROCK,BT51 4TS,RESIDENTIAL,277013,435888
SEAPARK,CASTLEROCK,BT51 4TH,RESIDENTIAL,277014,435949
TEMPLE PARK,CASTLEROCK,BT51 4TE,RESIDENTIAL,277016,435668
SEAPARK,CASTLEROCK,BT51 4TH,RESIDENTIAL,277019,436070
TEMPLE PARK,CASTLEROCK,BT51 4TE,RESIDENTIAL,277020,435670
NORWELL PARK,CASTLEROCK,BT51 4TS,RESIDENTIAL,277022,435850
SEAPARK,CASTLEROCK,BT51 4TH,RESIDENTIAL,277022,436118
SEAPARK,CASTLEROCK,BT51 4TH,RESIDENTIAL,277026,436050
SEAPARK,CASTLEROCK,BT51 4TH,RESIDENTIAL,277034,436029
SEAPARK,CASTLEROCK,BT51 4TH,RESIDENTIAL,277038,436117
SEAPARK,CASTLEROCK,BT51 4TH,RESIDENTIAL,277040,436014
NORWELL PARK,CASTLEROCK,BT51 4TS,RESIDENTIAL,277042,435855
SEAPARK,CASTLEROCK,BT51 4TH,RESIDENTIAL,277043,435941
SEAPARK,CASTLEROCK,BT51 4TH,RESIDENTIAL,277045,435920
SEAPARK,CASTLEROCK,BT51 4TH,RESIDENTIAL,277046,435997
SEAPARK,CASTLEROCK,BT51 4TH,RESIDENTIAL,277047,435960
SEAPARK,CASTLEROCK,BT51 4TH,RESIDENTIAL,277048,435982
NORWELL PARK,CASTLEROCK,BT51 4TS,RESIDENTIAL,277050,435894
CASTLE PARK,CASTLEROCK,BT51 4TD,RESIDENTIAL,277170,435877
CASTLEWALK,CASTLEROCK,BT51 4TP,RESIDENTIAL,277171,435923
BELVEDERE PARK,CASTLEROCK,BT51 4XW,RESIDENTIAL,277173,435548
BELVEDERE PARK,CASTLEROCK,BT51 4XW,RESIDENTIAL,277173,435596
MAIN STREET,CASTLEROCK,BT51 4RF,RESIDENTIAL,277174,436210
CASTLE PARK,CASTLEROCK,BT51 4TD,RESIDENTIAL,277178,435887
MAIN STREET,CASTLEROCK,BT51 4RF,RESIDENTIAL,277181,436207
BELVEDERE PARK,CASTLEROCK,BT51 4XW,RESIDENTIAL,277183,435568
CASTLE PARK,CASTLEROCK,BT51 4TD,RESIDENTIAL,277183,435895
BELVEDERE PARK,CASTLEROCK,BT51 4XW,RESIDENTIAL,277190,435499
BELVEDERE PARK,CASTLEROCK,BT51 4XW,RESIDENTIAL,277194,435594
CASTLEWALK,CASTLEROCK,BT51 4TP,RESIDENTIAL,277194,435909
BELVEDERE PARK,CASTLEROCK,BT51 4XW,RESIDENTIAL,277196,435521
BELVEDERE PARK,CASTLEROCK,BT51 4XW,RESIDENTIAL,277197,435537
BELVEDERE PARK,CASTLEROCK,BT51 4XW,RESIDENTIAL,277204,435654
BELVEDERE PARK,CASTLEROCK,BT51 4XW,RESIDENTIAL,277206,435495
CASTLEWALK,CASTLEROCK,BT51 4TP,RESIDENTIAL,277206,435805
BELVEDERE PARK,CASTLEROCK,BT51 4XW,RESIDENTIAL,277208,435558
BELVEDERE PARK,CASTLEROCK,BT51 4XW,RESIDENTIAL,277214,435591
SEA ROAD,CASTLEROCK,BT51 4TW,RESIDENTIAL,277216,435021
BELVEDERE PARK,CASTLEROCK,BT51 4XW,RESIDENTIAL,277218,435515
BELVEDERE PARK,CASTLEROCK,BT51 4XW,RESIDENTIAL,277219,435657
BELVEDERE PARK,CASTLEROCK,BT51 4XW,COMMERCIAL,277223,435479
BELVEDERE PARK,CASTLEROCK,BT51 4XW,RESIDENTIAL,277224,435535
BELVEDERE PARK,CASTLEROCK,BT51 4XW,RESIDENTIAL,277228,435555
BELVEDERE PARK,CASTLEROCK,BT51 4XW,RESIDENTIAL,277230,435590
BELVEDERE PARK,CASTLEROCK,BT51 4XW,RESIDENTIAL,277240,435673
BELVEDERE PARK,CASTLEROCK,BT51 4XW,RESIDENTIAL,277241,435648
BELVEDERE PARK,CASTLEROCK,BT51 4XW,RESIDENTIAL,277242,435473
CASTLEWALK,CASTLEROCK,BT51 4TP,RESIDENTIAL,277253,435830
DUNBOE ROAD,COLERAINE,BT51 4JR,UNKNOWN,277256,433294
BELVEDERE PARK,CASTLEROCK,BT51 4XW,RESIDENTIAL,277256,435486
BELVEDERE PARK,CASTLEROCK,BT51 4XW,RESIDENTIAL,277256,435514
BELVEDERE PARK,CASTLEROCK,BT51 4XW,RESIDENTIAL,277256,435687
DUNBOE ROAD,COLERAINE,BT51 4JR,UNKNOWN,277258,433290
BELVEDERE PARK,CASTLEROCK,BT51 4XW,RESIDENTIAL,277263,435551
BELVEDERE PARK,CASTLEROCK,BT51 4XW,UNKNOWN,277266,435609
BELVEDERE PARK,CASTLEROCK,BT51 4XW,RESIDENTIAL,277267,435577
SEA ROAD,CASTLEROCK,BT51 4TW,RESIDENTIAL,277273,434902
BELVEDERE PARK,CASTLEROCK,BT51 4XW,RESIDENTIAL,277273,435637
CASTLEWALK,CASTLEROCK,BT51 4TP,RESIDENTIAL,277274,435817
BELVEDERE PARK,CASTLEROCK,BT51 4XW,RESIDENTIAL,277277,435655
BELVEDERE PARK,CASTLEROCK,BT51 4XW,RESIDENTIAL,277277,435694
BELVEDERE PARK,CASTLEROCK,BT51 4XW,RESIDENTIAL,277279,435672
CASTLEWALK,CASTLEROCK,BT51 4TP,RESIDENTIAL,277280,435769
MUSSENDEN ROAD,CASTLEROCK,BT51 4TX,RESIDENTIAL,277292,434860
SEA ROAD,CASTLEROCK,BT51 4TW,RESIDENTIAL,277296,435595
SEA ROAD,CASTLEROCK,BT51 4TW,COMMERCIAL,277298,435616
SEA ROAD,CASTLEROCK,BT51 4TW,RESIDENTIAL,277299,435633
SEA ROAD,CASTLEROCK,BT51 4TW,RESIDENTIAL,277300,435062
CASTLEWALK,CASTLEROCK,BT51 4TP,RESIDENTIAL,277305,435804
SEA ROAD,CASTLEROCK,BT51 4TW,RESIDENTIAL,277308,435083
SEA ROAD,CASTLEROCK,BT51 4TW,RESIDENTIAL,277309,435092
STABLE LANE,CASTLEROCK,BT51 4HD,RESIDENTIAL,277312,436010
MUSSENDEN ROAD,CASTLEROCK,BT51 4TX,RESIDENTIAL,277318,434816
SEA ROAD,CASTLEROCK,BT51 4TW,RESIDENTIAL,277319,435718
SEA ROAD,CASTLEROCK,BT51 4TW,RESIDENTIAL,277324,435733
SEA ROAD,CASTLEROCK,BT51 4TW,RESIDENTIAL,277329,435757
SEA ROAD,CASTLEROCK,BT51 4TW,RESIDENTIAL,277330,435448
KNOCKNOUGHER ROAD,COLERAINE,BT51 4JZ,RESIDENTIAL,277332,431992
SEA ROAD,CASTLEROCK,BT51 4TW,RESIDENTIAL,277334,435479
SEA ROAD,CASTLEROCK,BT51 4TW,RESIDENTIAL,277334,435779
SEA ROAD,CASTLEROCK,BT51 4TW,RESIDENTIAL,277335,435800
SEA ROAD,CASTLEROCK,BT51 4TW,RESIDENTIAL,277338,435418
SEA ROAD,CASTLEROCK,BT51 4TW,RESIDENTIAL,277340,435508
MUSSENDEN ROAD,ARTICLAVE,BT51 4TX,RESIDENTIAL,277341,434202
SEA ROAD,CASTLEROCK,BT51 4TW,RESIDENTIAL,277342,435826
SEA ROAD,CASTLEROCK,BT51 4TW,RESIDENTIAL,277343,435820
SEA ROAD,CASTLEROCK,BT51 4TL,UNKNOWN,277345,436021
SEA ROAD,CASTLEROCK,BT51 4TN,RESIDENTIAL,277346,435862
SEA ROAD,CASTLEROCK,BT51 4TN,RESIDENTIAL,277349,435873
SEA ROAD,CASTLEROCK,BT51 4TN,RESIDENTIAL,277349,435879
SEA ROAD,CASTLEROCK,BT51 4TN,RESIDENTIAL,277350,435885
SEA ROAD,CASTLEROCK,BT51 4TW,RESIDENTIAL,277352,435600
SEA ROAD,CASTLEROCK,BT51 4TN,RESIDENTIAL,277352,435891
SEA ROAD,CASTLEROCK,BT51 4TN,RESIDENTIAL,277352,435897
SEA ROAD,CASTLEROCK,BT51 4TN,UNKNOWN,277353,435903
SEA ROAD,CASTLEROCK,BT51 4TN,COMMERCIAL,277353,435916
SEA ROAD,CASTLEROCK,BT51 4TN,COMMERCIAL,277353,435916
SEA ROAD,CASTLEROCK,BT51 4TN,RESIDENTIAL,277353,435942
SEA ROAD,CASTLEROCK,BT51 4TN,RESIDENTIAL,277355,435927
SEA ROAD,CASTLEROCK,BT51 4TW,RESIDENTIAL,277356,435624
SEA ROAD,CASTLEROCK,BT51 4TW,RESIDENTIAL,277357,435645
SEA ROAD,CASTLEROCK,BT51 4TN,RESIDENTIAL,277357,435933
SEA ROAD,CASTLEROCK,BT51 4TN,RESIDENTIAL,277358,435948
LIFFOCK COURT,CASTLEROCK,BT51 4DQ,RESIDENTIAL,277359,435448
SEA ROAD,CASTLEROCK,BT51 4TW,RESIDENTIAL,277359,435663
LIFFOCK COURT,CASTLEROCK,BT51 4DQ,RESIDENTIAL,277360,435465
SEA ROAD,CASTLEROCK,BT51 4TW,RESIDENTIAL,277361,435680
LIFFOCK COURT,CASTLEROCK,BT51 4DQ,RESIDENTIAL,277364,435491
SEA ROAD,CASTLEROCK,BT51 4TW,RESIDENTIAL,277368,435818
LIFFOCK COURT,CASTLEROCK,BT51 4DQ,RESIDENTIAL,277369,435514
LIFFOCK COURT,CASTLEROCK,BT51 4DQ,RESIDENTIAL,277374,435534
SEA ROAD,CASTLEROCK,BT51 4TW,RESIDENTIAL,277377,435713
SEA ROAD,CASTLEROCK,BT51 4TW,RESIDENTIAL,277379,435810
LIFFOCK COURT,CASTLEROCK,BT51 4DQ,RESIDENTIAL,277381,435429
SEA ROAD,CASTLEROCK,BT51 4TW,RESIDENTIAL,277382,435790
SEA ROAD,CASTLEROCK,BT51 4TN,RESIDENTIAL,277382,435851
SEA ROAD,CASTLEROCK,BT51 4TN,RESIDENTIAL,277383,435821
SEA ROAD,CASTLEROCK,BT51 4TN,RESIDENTIAL,277384,435870
LIFFOCK CRESCENT,CASTLEROCK,BT51 4TG,RESIDENTIAL,277386,435592
LIFFOCK CRESCENT,CASTLEROCK,BT51 4TG,RESIDENTIAL,277386,435610
SEA ROAD,CASTLEROCK,BT51 4TN,RESIDENTIAL,277387,435886
LIFFOCK CRESCENT,CASTLEROCK,BT51 4TG,RESIDENTIAL,277388,435633
SEA ROAD,CASTLEROCK,BT51 4TN,UNKNOWN,277388,435819
SEA ROAD,CASTLEROCK,BT51 4TN,RESIDENTIAL,277390,435918
SEA ROAD,CASTLEROCK,BT51 4TN,COMMERCIAL,277390,435932
SCONCE ROAD,ARTICLAVE,BT51 4JU,RESIDENTIAL,277392,431828
SEA ROAD,CASTLEROCK,BT51 4TN,RESIDENTIAL,277392,435925
LIFFOCK COURT,CASTLEROCK,BT51 4DQ,RESIDENTIAL,277399,435418
LIFFOCK COURT,CASTLEROCK,BT51 4DQ,RESIDENTIAL,277399,435473
SEA ROAD,CASTLEROCK,BT51 4TL,UNKNOWN,277400,436012
SCONCE ROAD,ARTICLAVE,BT51 4JU,RESIDENTIAL,277401,431896
LIFFOCK COURT,CASTLEROCK,BT51 4DQ,RESIDENTIAL,277401,435491
SEA ROAD,CASTLEROCK,BT51 4TL,RESIDENTIAL,277401,436032
LIFFOCK CRESCENT,CASTLEROCK,BT51 4TG,RESIDENTIAL,277402,435644
SEA ROAD,CASTLEROCK,BT51 4TL,RESIDENTIAL,277402,436039
SEA ROAD,CASTLEROCK,BT51 4TL,RESIDENTIAL,277402,436039
SEA ROAD,CASTLEROCK,BT51 4RE,COMMERCIAL,277404,436056
LIFFOCK COURT,CASTLEROCK,BT51 4DQ,RESIDENTIAL,277407,435511
LIFFOCK COURT,CASTLEROCK,BT51 4DQ,RESIDENTIAL,277408,435532
SEA ROAD,CASTLEROCK,BT51 4RE,COMMERCIAL,277408,436093
SEA ROAD,CASTLEROCK,BT51 4TN,RESIDENTIAL,277409,435908
SEA ROAD,CASTLEROCK,BT51 4TN,RESIDENTIAL,277411,435900
CIRCULAR ROAD,CASTLEROCK,BT51 4XA,RESIDENTIAL,277411,435983
LIFFOCK COURT,CASTLEROCK,BT51 4DQ,RESIDENTIAL,277412,435454
MUSSENDEN ROAD,CASTLEROCK,BT51 4TX,RESIDENTIAL,277416,434754
LIFFOCK CRESCENT,CASTLEROCK,BT51 4TG,RESIDENTIAL,277419,435657
MUSSENDEN ROAD,CASTLEROCK,BT51 4TX,RESIDENTIAL,277422,434751
LIFFOCK COURT,CASTLEROCK,BT51 4DQ,RESIDENTIAL,277422,435403
LIFFOCK CRESCENT,CASTLEROCK,BT51 4TG,RESIDENTIAL,277422,435593
LIFFOCK CRESCENT,CASTLEROCK,BT51 4TG,RESIDENTIAL,277422,435615
LIFFOCK AVENUE,CASTLEROCK,BT51 4DF,RESIDENTIAL,277427,435493
LIFFOCK COURT,CASTLEROCK,BT51 4DQ,RESIDENTIAL,277429,435446
LIFFOCK PARK,CASTLEROCK,BT51 4DG,RESIDENTIAL,277429,435570
LIFFOCK CRESCENT,CASTLEROCK,BT51 4TG,RESIDENTIAL,277435,435654
LIFFOCK AVENUE,CASTLEROCK,BT51 4DF,RESIDENTIAL,277436,435468
PROMENADE,CASTLEROCK,BT51 4RE,UNKNOWN,277437,436120
LIFFOCK COURT,CASTLEROCK,BT51 4DQ,RESIDENTIAL,277440,435391
CIRCULAR ROAD,CASTLEROCK,BT51 4XA,RESIDENTIAL,277440,436023
LIFFOCK CRESCENT,CASTLEROCK,BT51 4TG,RESIDENTIAL,277441,435612
LIFFOCK COURT,CASTLEROCK,BT51 4DQ,RESIDENTIAL,277443,435437
CIRCULAR ROAD,CASTLEROCK,BT51 4TJ,RESIDENTIAL,277444,436061
LIFFOCK AVENUE,CASTLEROCK,BT51 4DF,RESIDENTIAL,277446,435511
CIRCULAR ROAD,CASTLEROCK,BT51 4XA,RESIDENTIAL,277448,435969
LIFFOCK CRESCENT,CASTLEROCK,BT51 4TG,RESIDENTIAL,277452,435649
LIFFOCK AVENUE,CASTLEROCK,BT51 4DF,RESIDENTIAL,277454,435461
LIFFOCK PARK,CASTLEROCK,BT51 4DG,RESIDENTIAL,277455,435579
CIRCULAR ROAD,CASTLEROCK,BT51 4XA,MIXED,277455,436009
LIFFOCK COURT,CASTLEROCK,BT51 4DQ,RESIDENTIAL,277457,435409
LIFFOCK CRESCENT,CASTLEROCK,BT51 4TG,RESIDENTIAL,277458,435608
LIFFOCK COURT,CASTLEROCK,BT51 4DQ,RESIDENTIAL,277462,435425
CIRCULAR ROAD,CASTLEROCK,BT51 4XA,RESIDENTIAL,277463,435962
LIFFOCK AVENUE,CASTLEROCK,BT51 4DF,RESIDENTIAL,277464,435494
LIFFOCK CRESCENT,CASTLEROCK,BT51 4TG,RESIDENTIAL,277467,435646
LIFFOCK AVENUE,CASTLEROCK,BT51 4DF,RESIDENTIAL,277469,435451
LIFFOCK AVENUE,CASTLEROCK,BT51 4DF,RESIDENTIAL,277470,435386
LIFFOCK CRESCENT,CASTLEROCK,BT51 4TG,RESIDENTIAL,277474,435602
CIRCULAR ROAD,CASTLEROCK,BT51 4XA,RESIDENTIAL,277474,435952
LIFFOCK AVENUE,CASTLEROCK,BT51 4DF,RESIDENTIAL,277477,435515
LIFFOCK AVENUE,CASTLEROCK,BT51 4DF,RESIDENTIAL,277478,435368
LIFFOCK PARK,CASTLEROCK,BT51 4DG,RESIDENTIAL,277480,435575
CIRCULAR ROAD,CASTLEROCK,BT51 4XA,RESIDENTIAL,277480,435996
LIFFOCK AVENUE,CASTLEROCK,BT51 4DF,RESIDENTIAL,277482,435402
LIFFOCK AVENUE,CASTLEROCK,BT51 4DF,RESIDENTIAL,277483,435444
SEA ROAD,CASTLEROCK,BT51 4TN,COMMERCIAL,277486,435832
LIFFOCK CRESCENT,CASTLEROCK,BT51 4TG,RESIDENTIAL,277487,435642
CIRCULAR ROAD,CASTLEROCK,BT51 4XA,RESIDENTIAL,277488,435942
LIFFOCK AVENUE,CASTLEROCK,BT51 4DF,RESIDENTIAL,277493,435355
LIFFOCK AVENUE,CASTLEROCK,BT51 4DF,RESIDENTIAL,277493,435418
LIFFOCK CRESCENT,CASTLEROCK,BT51 4TG,RESIDENTIAL,277493,435594
LIFFOCK AVENUE,CASTLEROCK,BT51 4DF,RESIDENTIAL,277494,435474
MUSSENDEN ROAD,CASTLEROCK,BT51 4TX,RESIDENTIAL,277500,434679
LIFFOCK CRESCENT,CASTLEROCK,BT51 4TG,RESIDENTIAL,277502,435611
LIFFOCK AVENUE,CASTLEROCK,BT51 4DF,RESIDENTIAL,277504,435434
LIFFOCK AVENUE,CASTLEROCK,BT51 4DF,RESIDENTIAL,277504,435494
LIFFOCK PARK,CASTLEROCK,BT51 4DG,RESIDENTIAL,277505,435565
LIFFOCK CRESCENT,CASTLEROCK,BT51 4TG,RESIDENTIAL,277507,435634
CIRCULAR ROAD,CASTLEROCK,BT51 4XA,RESIDENTIAL,277507,435936
LIFFOCK AVENUE,CASTLEROCK,BT51 4DF,RESIDENTIAL,277509,435347
CIRCULAR ROAD,CASTLEROCK,BT51 4XA,RESIDENTIAL,277509,435977
LIFFOCK AVENUE,CASTLEROCK,BT51 4DF,RESIDENTIAL,277511,435384
CIRCULAR ROAD,CASTLEROCK,BT51 4TJ,COMMERCIAL,277514,436083
CIRCULAR ROAD,CASTLEROCK,BT51 4XA,RESIDENTIAL,277515,435971
LIFFOCK PARK,CASTLEROCK,BT51 4DG,RESIDENTIAL,277516,435582
LIFFOCK AVENUE,CASTLEROCK,BT51 4DF,RESIDENTIAL,277518,435516
MUSSENDEN ROAD,CASTLEROCK,BT51 4TX,RESIDENTIAL,277519,434669
LIFFOCK AVENUE,CASTLEROCK,BT51 4DF,RESIDENTIAL,277520,435463
CIRCULAR ROAD,CASTLEROCK,BT51 4XA,RESIDENTIAL,277520,435905
LIFFOCK AVENUE,CASTLEROCK,BT51 4DF,RESIDENTIAL,277522,435337
LIFFOCK PARK,CASTLEROCK,BT51 4DG,RESIDENTIAL,277523,435601
MUSSENDEN ROAD,CASTLEROCK,BT51 4TX,RESIDENTIAL,277524,434662
LIFFOCK PARK,CASTLEROCK,BT51 4DG,RESIDENTIAL,277525,435529
CIRCULAR ROAD,CASTLEROCK,BT51 4XA,RESIDENTIAL,277527,435895
LIFFOCK AVENUE,CASTLEROCK,BT51 4DF,RESIDENTIAL,277528,435376
LIFFOCK AVENUE,CASTLEROCK,BT51 4DF,RESIDENTIAL,277528,435405
CIRCULAR ROAD,CASTLEROCK,BT51 4XA,RESIDENTIAL,277528,435955
LIFFOCK PARK,CASTLEROCK,BT51 4DG,RESIDENTIAL,277531,435617
LIFFOCK AVENUE,CASTLEROCK,BT51 4DF,RESIDENTIAL,277534,435329
LIFFOCK PARK,CASTLEROCK,BT51 4DG,RESIDENTIAL,277535,435546
LIFFOCK AVENUE,CASTLEROCK,BT51 4DF,RESIDENTIAL,277536,435490
LIFFOCK AVENUE,CASTLEROCK,BT51 4DF,RESIDENTIAL,277539,435365
LIFFOCK AVENUE,CASTLEROCK,BT51 4DF,RESIDENTIAL,277539,435419
CIRCULAR ROAD,CASTLEROCK,BT51 4XA,RESIDENTIAL,277542,435936
LIFFOCK PARK,CASTLEROCK,BT51 4DG,RESIDENTIAL,277543,435559
CIRCULAR ROAD,CASTLEROCK,BT51 4XA,RESIDENTIAL,277546,435871
LIFFOCK AVENUE,CASTLEROCK,BT51 4DF,RESIDENTIAL,277547,435315
LIFFOCK AVENUE,CASTLEROCK,BT51 4DF,RESIDENTIAL,277548,435436
LIFFOCK AVENUE,CASTLEROCK,BT51 4DF,RESIDENTIAL,277551,435360
LIFFOCK PARK,CASTLEROCK,BT51 4DG,RESIDENTIAL,277552,435577
LIFFOCK PARK,CASTLEROCK,BT51 4DG,RESIDENTIAL,277554,435609
LIFFOCK AVENUE,CASTLEROCK,BT51 4DF,RESIDENTIAL,277555,435384
LIFFOCK AVENUE,CASTLEROCK,BT51 4DF,RESIDENTIAL,277556,435455
LIFFOCK AVENUE,CASTLEROCK,BT51 4DF,RESIDENTIAL,277556,435495
CIRCULAR ROAD,CASTLEROCK,BT51 4XA,RESIDENTIAL,277561,435912
LIFFOCK PARK,CASTLEROCK,BT51 4DG,RESIDENTIAL,277562,435516
LIFFOCK PARK,CASTLEROCK,BT51 4DG,RESIDENTIAL,277562,435537
LIFFOCK AVENUE,CASTLEROCK,BT51 4DF,RESIDENTIAL,277566,435406
LIFFOCK AVENUE,CASTLEROCK,BT51 4DF,RESIDENTIAL,277569,435486
LIFFOCK AVENUE,CASTLEROCK,BT51 4DF,RESIDENTIAL,277570,435326
LIFFOCK PARK,CASTLEROCK,BT51 4DG,RESIDENTIAL,277570,435603
CIRCULAR ROAD,CASTLEROCK,BT51 4XA,RESIDENTIAL,277570,435854
LIFFOCK AVENUE,CASTLEROCK,BT51 4DF,RESIDENTIAL,277571,435349
